STATION,POINT ID,DATE,PH,NA,NO3 and NO2,PO4,NH4,SO4,NH4
A2R001Q01,90240,05/06/2002,8.229,36.762,0.803,0.032,0.306,0.5584,0.017
A2R001Q01,90240,05/06/2002,8.264,34.789,1.418,0.041,0.426,0.5179,0.0237
A2R001Q01,90240,20/06/2002,8.243,36.561,0.969,0.025,0.441,0.5075,0.0245
A2R001Q01,90240,20/06/2002,8.228,37.463,0.92,0.031,0.446,0.5252,0.0248
A2R001Q01,90240,20/06/2002,8.309,36.468,0.941,0.037,0.403,0.5297,0.0224
A2R001Q01,90240,20/06/2002,8.373,37.764,0.925,0.022,0.431,0.5107,0.0239
A2R001Q01,90240,20/06/2002,8.231,36.961,0.955,0.022,0.435,0.5182,0.0242
A2R001Q01,90240,20/06/2002,8.185,35.966,0.944,0.026,0.461,0.5134,0.0256
A2R001Q01,90240,20/06/2002,8.269,36.397,0.968,0.022,0.443,0.5092,0.0246
A2R001Q01,90240,20/06/2002,8.263,35.762,0.947,0.02,0.426,0.5022,0.0237
A2R001Q01,90240,03/07/2002,8.227,42.618,1.122,0.015,0.333,0.6004,0.0185
A2R001Q01,90240,03/07/2002,8.105,42.803,1.096,0.006,0.3,0.5598,0.0167
A2R001Q01,90240,03/07/2002,8.339,40.021,1.184,0.018,0.309,0.5461,0.0172
A2R001Q01,90240,03/07/2002,8.283,41.225,1.186,0.026,0.327,0.5505,0.0182
A2R001Q01,90240,03/07/2002,8.348,41.16,1.186,0.03,0.295,0.5455,0.0164
A2R001Q01,90240,03/07/2002,8.513,39.453,1.174,0.022,0.345,0.5427,0.0192
A2R001Q01,90240,03/07/2002,8.287,39.857,1.148,0.02,0.334,0.5471,0.0186
A2R001Q01,90240,03/07/2002,8.117,42.488,0.977,0.024,0.367,0.618,0.0204
A2R001Q01,90240,17/07/2002,8.227,38.714,1.258,0.023,0.223,0.5465,0.0124
A2R001Q01,90240,17/07/2002,8.172,37.556,1.235,0.016,0.217,0.5868,0.0121
A2R001Q01,90240,17/07/2002,8.328,36.573,1.275,0.019,0.209,0.608,0.0116
A2R001Q01,90240,17/07/2002,8.067,37.313,1.253,0.023,0.238,0.6178,0.0132
A2R001Q01,90240,17/07/2002,8.209,37.621,1.231,0.021,0.257,0.638,0.0143
A2R001Q01,90240,17/07/2002,8.179,37.311,1.263,0.021,0.243,0.6004,0.0135
A2R001Q01,90240,17/07/2002,8.254,38.404,1.262,0.024,0.2,0.4922,0.0111
A2R001Q01,90240,17/07/2002,7.868,37.828,1.258,0.022,0.191,0.5846,0.0106
A2R001Q01,90240,31/07/2002,7.984,35.672,1.281,0.056,0.173,0.5429,0.0096
A2R001Q01,90240,31/07/2002,7.97,34.849,1.265,0.041,0.193,0.5644,0.0107
A2R001Q01,90240,31/07/2002,7.882,34.654,1.262,0.059,0.175,0.5712,0.0097
A2R001Q01,90240,31/07/2002,8.018,35.626,1.273,0.056,0.193,0.5125,0.0107
A2R001Q01,90240,31/07/2002,7.726,34.395,1.282,0.054,0.198,0.5593,0.011
A2R001Q01,90240,31/07/2002,8.018,34.971,1.267,0.048,0.174,0.5601,0.0097
A2R001Q01,90240,31/07/2002,8.003,36.469,1.277,0.04,0.191,0.5506,0.0106
A2R001Q01,90240,31/07/2002,7.875,35.862,1.4,0.032,0.297,0.5454,0.0165
A2R001Q01,90240,14/08/2002,8.206,36.59,1.327,0.114,0.02,0.5656,0.0011
A2R001Q01,90240,14/08/2002,8.741,36.712,1.42,0.032,0.053,0.5799,0.0029
A2R001Q01,90240,14/08/2002,8.839,36.294,1.407,0.117,0.07,0.526,0.0039
A2R001Q01,90240,14/08/2002,8.63,36.789,1.251,0.124,0.02,0.6299,0.0011
A2R001Q01,90240,14/08/2002,8.627,36.2,1.352,0.076,0.079,0.5758,0.0044
A2R001Q01,90240,14/08/2002,8.05,40.936,1.323,0.041,0.121,0.5638,0.0067
A2R001Q01,90240,14/08/2002,8.274,38.978,1.296,0.033,0.297,0.54,0.0165
A2R001Q01,90240,14/08/2002,8.224,36.047,1.328,0.034,0.364,0.5806,0.0202
A2R001Q01,90240,28/08/2002,8.066,39.8,1.469,0.065,0.02,0.5612,0.0011
A2R001Q01,90240,28/08/2002,8.05,38.071,1.402,0.044,0.113,0.5553,0.0063
A2R001Q01,90240,28/08/2002,8.218,39.617,1.42,0.055,0.051,0.5383,0.0028
A2R001Q01,90240,28/08/2002,8.263,41.848,1.43,0.087,0.02,0.54,0.0011
A2R001Q01,90240,28/08/2002,8.261,44.657,1.406,0.043,0.02,0.5171,0.0011
A2R001Q01,90240,28/08/2002,8.436,40.921,1.41,0.048,0.189,0.5392,0.0105
A2R001Q01,90240,28/08/2002,8.083,40.309,1.412,0.043,0.242,0.5325,0.0134
A2R001Q01,90240,28/08/2002,7.77,39.862,1.347,0.034,0.357,0.5479,0.0198
A2R001Q01,90240,11/09/2002,8.311,42.928,1.454,0.054,0.187,0.5162,0.0104
A2R001Q01,90240,11/09/2002,8.345,37.414,1.496,0.057,0.097,0.5148,0.0054
A2R001Q01,90240,11/09/2002,8.55,43.253,1.548,0.041,0.117,0.5538,0.0065
A2R001Q01,90240,11/09/2002,8.532,37.004,1.541,0.07,0.134,0.5622,0.0074
A2R001Q01,90240,11/09/2002,8.337,42.297,1.571,0.029,0.056,0.5911,0.0031
A2R001Q01,90240,11/09/2002,8.464,44.594,1.573,0.035,0.092,0.5574,0.0051
A2R001Q01,90240,11/09/2002,8.495,41.749,1.566,0.043,0.088,0.5524,0.0049
A2R001Q01,90240,11/09/2002,8.425,41.907,1.594,0.022,0.093,0.5313,0.0052
A2R001Q01,90240,22/09/2002,7.755,44.85,1.17,0.057,1.934,0.6272,0.1074
A2R001Q01,90240,26/09/2002,8.402,37.541,1.301,0.059,0.02,0.5434,0.0011
A2R001Q01,90240,26/09/2002,9.167,37.206,1.547,0.06,0.063,0.5018,0.0035
A2R001Q01,90240,26/09/2002,8.691,43.614,1.37,0.106,0.064,0.6012,0.0036
A2R001Q01,90240,26/09/2002,8.804,40.95,1.5,0.066,0.043,0.6198,0.0024
A2R001Q01,90240,26/09/2002,8.334,33.994,1.53,0.03,0.083,0.5478,0.0046
A2R001Q01,90240,26/09/2002,8.276,40.561,1.686,0.055,0.063,0.6242,0.0035
A2R001Q01,90240,26/09/2002,8.159,35.153,1.55,0.027,0.105,0.4643,0.0058
A2R001Q01,90240,09/10/2002,9.028,40.602,1.246,0.053,0.104,0.5868,0.0058
A2R001Q01,90240,09/10/2002,7.24,40.921,1.322,0.075,0.186,0.5805,0.0103
A2R001Q01,90240,09/10/2002,8.945,41.818,1.223,0.067,0.02,0.5867,0.0011
A2R001Q01,90240,09/10/2002,8.8,40.349,1.209,0.045,0.053,0.5852,0.0029
A2R001Q01,90240,09/10/2002,8.673,41.42,1.222,0.055,0.13,0.5747,0.0072
A2R001Q01,90240,09/10/2002,8.469,42.074,1.488,0.02,0.215,0.5548,0.0119
A2R001Q01,90240,09/10/2002,8.183,40.363,1.465,0.06,0.109,0.5619,0.0061
A2R001Q01,90240,09/10/2002,8.184,38.054,1.416,0.048,0.204,0.5574,0.0113
A2R001Q01,90240,23/10/2002,9.16,40.652,1.104,0.067,0.02,0.6589,0.0011
A2R001Q01,90240,23/10/2002,9.461,42.478,1.029,0.085,0.02,0.6425,0.0011
A2R001Q01,90240,23/10/2002,9.044,40.264,1.057,0.103,0.02,0.6663,0.0011
A2R001Q01,90240,23/10/2002,9.1,37.455,1.065,0.134,0.123,0.6733,0.0068
A2R001Q01,90240,23/10/2002,8.868,39.914,1.094,0.081,0.115,0.6229,0.0064
A2R001Q01,90240,23/10/2002,8.284,36.588,1.471,0.073,0.116,0.5831,0.0064
A2R001Q01,90240,23/10/2002,8.156,36.503,1.372,0.1,0.265,0.5554,0.0147
A2R001Q01,90240,23/10/2002,8.41,37.499,1.125,0.09,0.428,0.5462,0.0238
A2R001Q01,90240,06/11/2002,8.371,46.625,1.169,0.081,0.187,0.6237,0.0104
A2R001Q01,90240,06/11/2002,8.512,44.463,1.081,0.062,0.23,0.5643,0.0128
A2R001Q01,90240,06/11/2002,8.22,45.341,1.056,0.047,0.02,0.6553,0.0011
A2R001Q01,90240,06/11/2002,7.717,44.369,0.808,0.041,0.02,0.6128,0.0011
A2R001Q01,90240,06/11/2002,8.292,43.654,1.008,0.057,0.02,0.618,0.0011
A2R001Q01,90240,06/11/2002,8.3,38.635,1.04,0.063,0.02,0.5922,0.0011
A2R001Q01,90240,06/11/2002,8.136,43.514,0.889,0.076,0.543,0.6132,0.0302
A2R001Q01,90240,06/11/2002,8.019,42.767,1.081,0.04,0.197,0.6041,0.0109
A2R001Q01,90240,20/11/2002,8.646,44.602,1.107,0.045,0.14,0.691,0.0078
A2R001Q01,90240,20/11/2002,8.657,46.119,1.252,0.042,0.167,0.5829,0.0093
A2R001Q01,90240,20/11/2002,8.676,36.371,1.096,0.04,0.103,0.6715,0.0057
A2R001Q01,90240,20/11/2002,8.633,37.511,1.096,0.032,0.122,0.5961,0.0068
A2R001Q01,90240,20/11/2002,8.614,35.723,1.064,0.034,0.111,0.6143,0.0062
A2R001Q01,90240,20/11/2002,8.385,37.11,1.028,0.033,0.214,0.589,0.0119
A2R001Q01,90240,20/11/2002,8.2,36.419,0.749,0.096,0.488,0.5326,0.0271
A2R001Q01,90240,20/11/2002,8.249,46.601,0.666,0.136,0.104,0.6278,0.0058
A2R001Q01,90240,04/12/2002,8.016,46.133,0.515,0.026,0.101,0.6466,0.0056
A2R001Q01,90240,04/12/2002,8.728,43.39,0.409,0.024,0.02,0.5829,0.0011
A2R001Q01,90240,04/12/2002,8.58,49.778,0.381,0.048,0.02,0.6836,0.0011
A2R001Q01,90240,04/12/2002,8.378,48.802,0.501,0.026,0.02,0.6615,0.0011
A2R001Q01,90240,04/12/2002,8.87,48.491,0.62,0.024,0.045,0.6052,0.0025
A2R001Q01,90240,04/12/2002,8.209,47.781,0.465,0.065,0.364,0.619,0.0202
A2R001Q01,90240,04/12/2002,8.269,46.956,0.339,0.11,0.663,0.6196,0.0368
A2R001Q01,90240,04/12/2002,8.301,41.187,0.2,0.164,0.893,0.5634,0.0496
A2R001Q01,90240,19/12/2002,8.822,45.906,0.499,0.082,0.02,0.6419,0.0011
A2R001Q01,90240,19/12/2002,8.846,46.692,0.058,0.047,0.02,0.6257,0.0011
A2R001Q01,90240,19/12/2002,8.052,47.535,0.066,0.05,0.046,0.6038,0.0026
A2R001Q01,90240,19/12/2002,8.818,46.099,0.384,0.029,0.02,0.6657,0.0011
A2R001Q01,90240,19/12/2002,8.841,46.141,0.572,0.027,0.077,0.6507,0.0043
A2R001Q01,90240,19/12/2002,8.466,45.954,0.863,0.03,0.231,0.6346,0.0128
A2R001Q01,90240,19/12/2002,8.258,45.478,0.767,0.037,0.384,0.6048,0.0213
A2R001Q01,90240,19/12/2002,8.187,45.7,0.09,0.176,1.021,0.5267,0.0567
A2R001Q01,90240,15/01/2003,8.804,44.371,0.02,0.068,0.02,0.6195,0.0011
A2R001Q01,90240,15/01/2003,8.585,46.242,0.152,0.145,0.02,0.8304,0.0011
A2R001Q01,90240,15/01/2003,9.147,47.869,0.042,0.073,0.02,0.6581,0.0011
A2R001Q01,90240,15/01/2003,9.155,48.24,0.048,0.055,0.02,0.6461,0.0011
A2R001Q01,90240,15/01/2003,9.006,47.432,0.131,0.022,0.02,0.6269,0.0011
A2R001Q01,90240,15/01/2003,8.22,46.869,0.527,0.028,0.02,0.6165,0.0011
A2R001Q01,90240,15/01/2003,8.122,39.214,0.067,0.105,0.916,0.5556,0.0509
A2R001Q01,90240,15/01/2003,8.449,44.512,0.02,0.201,1.378,0.5264,0.0766
A2R001Q01,90240,29/01/2003,9.363,46.129,0.02,0.04,0.02,0.7392,0.0011
A2R001Q01,90240,29/01/2003,7.344,48.656,0.02,0.482,-9999,0.9039,-9999
A2R001Q01,90240,29/01/2003,9.299,36.766,0.02,0.07,0.02,0.5925,0.0011
A2R001Q01,90240,29/01/2003,9.335,37.3,0.02,0.068,0.02,0.5782,0.0011
A2R001Q01,90240,29/01/2003,8.947,36.975,0.046,0.021,0.02,0.5635,0.0011
A2R001Q01,90240,29/01/2003,8.672,42.453,0.212,0.045,0.228,0.6115,0.0127
A2R001Q01,90240,29/01/2003,8.172,35.848,0.309,0.098,0.738,0.552,0.041
A2R001Q01,90240,29/01/2003,8.212,47.312,0.02,0.157,1.449,0.5756,0.0805
A2R001Q01,90240,12/02/2003,9.639,39.221,0.02,0.039,0.02,0.719,0.0011
A2R001Q01,90240,12/02/2003,9.593,41.054,0.02,0.115,0.02,0.6993,0.0011
A2R001Q01,90240,12/02/2003,9.585,44.267,0.02,0.069,0.02,0.6357,0.0011
A2R001Q01,90240,12/02/2003,9.71,43.626,0.02,0.052,0.02,0.6519,0.0011
A2R001Q01,90240,12/02/2003,8.728,42.046,0.02,0.039,0.155,0.6147,0.0086
A2R001Q01,90240,12/02/2003,8.527,40.872,0.205,0.075,0.42,0.582,0.0233
A2R001Q01,90240,12/02/2003,8.205,40.01,0.02,0.162,1.404,0.5469,0.078
A2R001Q01,90240,12/02/2003,8.098,36.356,0.045,0.225,1.769,0.5414,0.0983
A2R001Q01,90240,26/02/2003,8.903,41.864,0.02,0.04,0.02,0.6019,0.0011
A2R001Q01,90240,26/02/2003,9.165,39.407,0.02,0.029,0.02,0.5944,0.0011
A2R001Q01,90240,26/02/2003,9.34,38.08,0.02,0.021,0.02,0.5507,0.0011
A2R001Q01,90240,26/02/2003,9.139,37.63,0.02,0.025,0.02,0.5484,0.0011
A2R001Q01,90240,26/02/2003,9.272,37.336,0.02,0.019,0.02,0.5451,0.0011
A2R001Q01,90240,26/02/2003,8.442,36.571,0.217,0.085,0.524,0.5248,0.0291
A2R001Q01,90240,26/02/2003,8.087,34.584,0.191,0.165,1.394,0.487,0.0774
A2R001Q01,90240,26/02/2003,8.024,34.053,0.041,0.231,1.737,0.4612,0.0965
A2R001Q01,90240,12/03/2003,8.1,42.386,0.02,0.061,0.02,0.6162,0.0011
A2R001Q01,90240,12/03/2003,8.662,41.604,0.02,0.064,0.044,0.6136,0.0024
A2R001Q01,90240,12/03/2003,9.199,40.448,0.02,0.028,0.02,0.5861,0.0011
A2R001Q01,90240,12/03/2003,9.145,40.698,0.02,0.028,0.02,0.5791,0.0011
A2R001Q01,90240,12/03/2003,9.035,40.271,0.02,0.021,0.02,0.5781,0.0011
A2R001Q01,90240,12/03/2003,8.519,38.407,0.088,0.103,0.491,0.5254,0.0273
A2R001Q01,90240,12/03/2003,8.126,37.36,0.041,0.169,1.053,0.4783,0.0585
A2R001Q01,90240,12/03/2003,8.117,37.226,0.02,0.253,1.978,0.4839,0.1099
A2R001Q01,90240,26/03/2003,8.55,40.186,0.172,0.092,0.02,0.5138,0.0011
A2R001Q01,90240,26/03/2003,8.65,42.596,0.02,0.047,0.02,0.5436,0.0011
A2R001Q01,90240,26/03/2003,9.042,41.775,0.091,0.093,0.063,0.5232,0.0035
A2R001Q01,90240,26/03/2003,8.62,42.237,0.102,0.075,0.201,0.5345,0.0112
A2R001Q01,90240,26/03/2003,8.882,40.854,0.095,0.082,0.218,0.5098,0.0121
A2R001Q01,90240,26/03/2003,8.831,41.065,0.105,0.073,0.207,0.5361,0.0115
A2R001Q01,90240,26/03/2003,8.816,40.397,0.117,0.069,0.273,0.5106,0.0152
A2R001Q01,90240,26/03/2003,8.166,39.944,0.02,0.054,0.02,0.4429,0.0011
A2R001Q01,90240,09/04/2003,8.65,45.201,0.02,0.075,0.281,0.5147,0.0156
A2R001Q01,90240,09/04/2003,7.594,46.019,0.02,0.078,0.216,0.5028,0.012
A2R001Q01,90240,09/04/2003,8.827,45.275,0.02,0.062,0.312,0.5565,0.0173
A2R001Q01,90240,09/04/2003,8.765,45.382,0.069,0.061,0.376,0.5481,0.0209
A2R001Q01,90240,09/04/2003,8.732,45.458,0.056,0.058,0.325,0.5463,0.0181
A2R001Q01,90240,09/04/2003,8.396,44.947,0.02,0.031,0.02,0.5227,0.0011
A2R001Q01,90240,09/04/2003,8.247,44.367,0.02,0.078,0.02,0.5338,0.0011
A2R001Q01,90240,09/04/2003,8.153,46.02,0.27,0.283,1.896,0.4325,0.1053
A2R001Q01,90240,24/04/2003,7.562,45.608,0.157,-9999,-9999,0.7048,-9999
A2R001Q01,90240,24/04/2003,7.53,44.973,0.02,0.317,0.02,0.6434,0.0011
A2R001Q01,90240,24/04/2003,8.244,43.316,0.064,0.068,0.267,0.5375,0.0148
A2R001Q01,90240,24/04/2003,8.335,44.273,0.178,0.092,0.403,0.5089,0.0224
A2R001Q01,90240,24/04/2003,8.172,43.903,0.167,0.082,0.217,0.5588,0.0121
A2R001Q01,90240,24/04/2003,8.119,43.66,0.131,0.106,0.629,0.5666,0.0349
A2R001Q01,90240,07/05/2003,8.155,44.36,0.376,0.093,0.417,0.5449,0.0232
A2R001Q01,90240,07/05/2003,8.033,45.656,0.342,0.171,0.166,0.6638,0.0092
A2R001Q01,90240,07/05/2003,8.307,43.295,0.336,0.121,0.35,0.5947,0.0194
A2R001Q01,90240,07/05/2003,8.254,42.942,0.315,0.115,0.335,0.5789,0.0186
A2R001Q01,90240,07/05/2003,8.373,43.08,0.335,0.099,0.424,0.5605,0.0236
A2R001Q01,90240,07/05/2003,8.215,44.222,0.337,0.113,0.225,0.5629,0.0125
A2R001Q01,90240,07/05/2003,8.343,43.183,0.317,0.092,0.35,0.5729,0.0194
A2R001Q01,90240,07/05/2003,8.4,44.283,0.347,0.096,0.413,0.5742,0.0229
A2R001Q01,90240,21/05/2003,7.859,45.185,0.055,0.059,0.02,0.636,0.0011
A2R001Q01,90240,21/05/2003,7.852,43.939,0.02,0.019,0.077,0.5556,0.0043
A2R001Q01,90240,21/05/2003,8.369,44.787,0.564,0.077,0.261,0.5923,0.0145
A2R001Q01,90240,21/05/2003,7.717,45.209,0.628,0.09,0.02,0.6073,0.0011
A2R001Q01,90240,21/05/2003,8.356,45.73,0.604,0.082,0.278,0.5828,0.0154
A2R001Q01,90240,21/05/2003,8.018,45.751,0.592,0.076,0.259,0.5947,0.0144
A2R001Q01,90240,21/05/2003,7.723,45.745,0.02,0.051,0.02,0.5802,0.0011
A2R001Q01,90240,21/05/2003,7.471,43.96,0.643,0.099,0.284,0.6134,0.0158
A2R001Q01,90240,04/06/2003,7.835,46.654,0.625,0.301,0.256,0.6522,0.0142
A2R001Q01,90240,04/06/2003,7.668,45.935,0.573,1.946,5.417,0.7193,0.3009
A2R001Q01,90240,04/06/2003,7.953,46.83,0.624,0.368,0.265,0.7142,0.0147
A2R001Q01,90240,04/06/2003,8.211,45.828,0.607,0.058,0.183,0.566,0.0102
A2R001Q01,90240,04/06/2003,8.19,45.825,0.573,0.056,0.188,0.554,0.0104
A2R001Q01,90240,04/06/2003,8.198,45.457,0.585,0.058,0.197,0.5596,0.0109
A2R001Q01,90240,04/06/2003,8.212,46.497,0.603,0.055,0.198,0.5644,0.011
A2R001Q01,90240,04/06/2003,7.926,45.772,0.612,0.055,0.168,0.5245,0.0093
A2R001Q01,90240,19/06/2003,7.309,48.323,0.92,0.104,0.02,0.5513,0.0011
A2R001Q01,90240,19/06/2003,7.008,49.391,0.919,0.083,0.02,0.596,0.0011
A2R001Q01,90240,19/06/2003,7.992,46.759,0.919,0.068,0.02,0.5752,0.0011
A2R001Q01,90240,19/06/2003,8.085,47.323,0.887,0.054,0.02,0.5477,0.0011
A2R001Q01,90240,19/06/2003,7.405,47.25,0.793,0.046,0.02,0.6146,0.0011
A2R001Q01,90240,19/06/2003,7.573,47.441,0.915,0.053,0.02,0.5642,0.0011
A2R001Q01,90240,19/06/2003,7.93,47.586,0.883,0.014,0.02,0.5062,0.0011
A2R001Q01,90240,19/06/2003,7.99,48.627,1.027,0.047,0.02,0.533,0.0011
A2R001Q01,90240,02/07/2003,7.978,48.607,1.03,0.355,0.086,0.6671,0.0048
A2R001Q01,90240,02/07/2003,8.312,53.494,0.981,0.092,0.02,0.578,0.0011
A2R001Q01,90240,02/07/2003,8.31,45.836,0.877,0.049,0.02,0.5877,0.0011
A2R001Q01,90240,02/07/2003,8.3,45.554,0.959,0.042,0.063,0.5566,0.0035
A2R001Q01,90240,02/07/2003,8.277,45.569,0.917,0.05,0.02,0.5634,0.0011
A2R001Q01,90240,02/07/2003,8.275,45.959,0.906,0.042,0.048,0.5653,0.0027
A2R001Q01,90240,02/07/2003,8.274,47.184,0.884,0.057,0.049,0.5703,0.0027
A2R001Q01,90240,02/07/2003,8.155,57.236,0.721,0.107,0.206,0.5817,0.0114
A2R001Q01,90240,30/07/2003,8.051,41.584,1.075,0.032,0.02,0.5405,0.0011
A2R001Q01,90240,30/07/2003,7.984,43.533,1.075,0.061,0.02,0.5774,0.0011
A2R001Q01,90240,30/07/2003,8.329,44.317,1.067,0.042,0.02,0.5119,0.0011
A2R001Q01,90240,30/07/2003,7.589,45.31,0.94,0.04,0.02,0.5281,0.0011
A2R001Q01,90240,30/07/2003,8.147,47.315,1.039,0.041,0.02,0.6505,0.0011
A2R001Q01,90240,30/07/2003,8.339,41.946,1.036,0.028,0.068,0.5547,0.0038
A2R001Q01,90240,13/08/2003,8.032,51.274,0.654,0.033,0.042,0.5066,0.0023
A2R001Q01,90240,13/08/2003,7.308,52.5,1.06,1.286,0.463,0.6973,0.0257
A2R001Q01,90240,13/08/2003,7.941,48.252,0.883,0.012,0.015,0.5081,0.0008
A2R001Q01,90240,13/08/2003,8.151,47.447,1.197,0.03,0.015,0.5073,0.0008
A2R001Q01,90240,13/08/2003,8.074,47.407,1.223,0.027,0.015,0.5485,0.0008
A2R001Q01,90240,13/08/2003,8.16,48.149,1.217,0.039,0.015,0.5076,0.0008
A2R001Q01,90240,13/08/2003,8.393,47.812,1.229,0.012,0.015,0.5107,0.0008
A2R001Q01,90240,13/08/2003,8.267,51.633,1.016,0.038,0.02,0.5437,0.0011
A2R001Q01,90240,27/08/2003,7.971,52.403,1.199,0.155,0.102,0.5263,0.0057
A2R001Q01,90240,27/08/2003,7.392,52.692,2.251,0.989,5.682,0.5453,0.3157
A2R001Q01,90240,27/08/2003,7.36,50.049,0.02,0.074,0.127,0.5484,0.0071
A2R001Q01,90240,27/08/2003,7.706,50.412,0.041,0.091,0.02,0.5275,0.0011
A2R001Q01,90240,27/08/2003,7.984,49.406,1.24,0.039,0.02,0.5363,0.0011
A2R001Q01,90240,27/08/2003,7.637,50.736,1.062,0.014,0.02,0.5396,0.0011
A2R001Q01,90240,27/08/2003,8.002,51.265,0.87,0.014,0.02,0.5279,0.0011
A2R001Q01,90240,27/08/2003,8.223,50.892,1.196,0.057,0.02,0.5257,0.0011
A2R001Q01,90240,10/09/2003,8.096,49.049,1.288,0.026,0.02,0.5842,0.0011
A2R001Q01,90240,10/09/2003,7.708,51.476,1.323,0.25,0.3,0.7551,0.0167
A2R001Q01,90240,10/09/2003,8.373,47.525,0.82,0.059,0.02,0.5046,0.0011
A2R001Q01,90240,10/09/2003,8.546,47.426,1.146,0.063,0.02,0.4967,0.0011
A2R001Q01,90240,10/09/2003,8.348,46.118,1.042,0.055,0.02,0.5127,0.0011
A2R001Q01,90240,10/09/2003,8.077,47.16,0.67,0.016,0.02,0.488,0.0011
A2R001Q01,90240,10/09/2003,8.257,45.309,1.015,0.051,0.02,0.4682,0.0011
A2R001Q01,90240,10/09/2003,7.971,48.129,1.194,0.023,0.02,0.5335,0.0011
A2R001Q01,90240,25/09/2003,8.604,45.395,1.194,0.065,0.02,0.581,0.0011
A2R001Q01,90240,25/09/2003,7.717,52.835,1.139,0.632,0.02,0.6283,0.0011
A2R001Q01,90240,25/09/2003,8.417,50.224,0.971,0.032,0.02,0.6134,0.0011
A2R001Q01,90240,25/09/2003,8.69,49.139,1.159,0.044,0.02,0.5739,0.0011
A2R001Q01,90240,25/09/2003,8.364,45.228,1.097,0.044,0.02,0.6116,0.0011
A2R001Q01,90240,25/09/2003,8.27,45.786,1.096,0.051,0.02,0.5683,0.0011
A2R001Q01,90240,25/09/2003,8.01,45.111,1.116,0.03,0.168,0.588,0.0093
A2R001Q01,90240,25/09/2003,7.905,43.157,0.815,0.032,0.02,0.5615,0.0011
A2R001Q01,90240,08/10/2003,8.52,45.317,1,0.041,0.015,0.5769,0.0008
A2R001Q01,90240,08/10/2003,8.122,44.202,0.979,0.031,0.015,0.5826,0.0008
A2R001Q01,90240,08/10/2003,8.818,50.613,1.006,0.042,0.02,0.4971,0.0011
A2R001Q01,90240,08/10/2003,8.821,52.406,0.937,0.041,0.02,0.496,0.0011
A2R001Q01,90240,08/10/2003,8.599,50.677,1.125,0.049,0.041,0.4961,0.0023
A2R001Q01,90240,08/10/2003,8.398,50.434,1.312,0.058,0.043,0.4871,0.0024
A2R001Q01,90240,08/10/2003,8.173,49.853,1.306,0.063,0.191,0.4949,0.0106
A2R001Q01,90240,08/10/2003,8.264,42.563,1.111,0.061,0.334,0.5536,0.0186
A2R001Q01,90240,22/10/2003,8.806,50.885,0.055,0.026,0.015,0.5546,0.0008
A2R001Q01,90240,22/10/2003,8.719,55.642,0.781,0.042,0.015,0.5192,0.0008
A2R001Q01,90240,22/10/2003,8.437,50.502,0.818,0.048,0.015,0.5792,0.0008
A2R001Q01,90240,22/10/2003,8.846,47.286,0.789,0.031,0.015,0.6146,0.0008
A2R001Q01,90240,22/10/2003,8.825,47.018,0.844,0.032,0.015,0.5965,0.0008
A2R001Q01,90240,22/10/2003,8.398,48.03,1.002,0.05,0.015,0.5874,0.0008
A2R001Q01,90240,22/10/2003,7.908,46.209,1.131,0.05,0.015,0.5817,0.0008
A2R001Q01,90240,22/10/2003,8.033,46.54,1.274,0.134,0.015,0.4695,0.0008
A2R001Q01,90240,05/11/2003,9.415,48.124,0.423,0.036,0.035,0.5769,0.0019
A2R001Q01,90240,05/11/2003,9.604,48.991,0.334,0.027,0.045,0.5662,0.0025
A2R001Q01,90240,05/11/2003,8.814,47.153,0.055,0.027,0.04,0.5419,0.0022
A2R001Q01,90240,05/11/2003,8.308,49.126,0.055,0.032,0.015,0.4871,0.0008
A2R001Q01,90240,05/11/2003,7.942,48.057,0.055,0.036,0.015,0.4126,0.0008
A2R001Q01,90240,05/11/2003,8.643,48.089,0.601,0.064,0.015,0.4842,0.0008
A2R001Q01,90240,05/11/2003,8.187,45.015,0.885,0.061,0.285,0.4655,0.0158
A2R001Q01,90240,05/11/2003,8.104,42.832,0.9,0.192,0.64,0.471,0.0356
A2R001Q01,90240,19/11/2003,8.841,46.09,0.055,0.012,0.015,0.5276,0.0008
A2R001Q01,90240,19/11/2003,9.342,51.929,0.541,0.012,0.037,0.5052,0.0021
A2R001Q01,90240,19/11/2003,9.501,53.118,0.173,0.012,0.015,0.5714,0.0008
A2R001Q01,90240,19/11/2003,9.063,52.643,0.122,0.012,0.015,0.5592,0.0008
A2R001Q01,90240,19/11/2003,9.395,51.078,0.282,0.012,0.015,0.5863,0.0008
A2R001Q01,90240,19/11/2003,8.137,50.807,0.055,0.012,0.015,0.6395,0.0008
A2R001Q01,90240,19/11/2003,8.292,50.704,0.299,0.012,0.271,0.598,0.0151
A2R001Q01,90240,19/11/2003,7.656,42.596,0.055,0.012,0.015,0.4759,0.0008
A2R001Q01,90240,03/12/2003,8.953,60.433,0.897,0.036,0.015,0.5296,0.0008
A2R001Q01,90240,03/12/2003,9.256,57.836,0.128,0.03,0.015,0.5542,0.0008
A2R001Q01,90240,03/12/2003,8.743,57.217,0.055,0.028,0.015,0.5697,0.0008
A2R001Q01,90240,03/12/2003,8.36,55.189,0.055,0.012,0.015,0.5679,0.0008
A2R001Q01,90240,03/12/2003,8.397,56.476,0.055,0.012,0.015,0.5723,0.0008
